28 sept. 2020 à 11:58:04
RngSeed: 1601287081307
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
705.0, 25.0, 297.0
706.0, 20.0, 297.0
707.0, 18.0, 296.0
708.0, 18.0, 300.0
709.0, 21.0, 295.0
710.0, 17.0, 295.0
710.0, 17.0, 295.0
711.0, 20.0, 293.0
712.0, 19.0, 297.0
713.0, 17.0, 294.0
714.0, 18.0, 301.0
715.0, 18.0, 301.0
715.0, 20.0, 299.0
716.0, 21.0, 303.0
717.0, 19.0, 297.0
718.0, 24.0, 299.0
719.0, 22.0, 300.0
720.0, 19.0, 295.0
720.0, 19.0, 295.0
721.0, 22.0, 293.0
722.0, 18.0, 291.0
723.0, 17.0, 294.0
724.0, 11.0, 296.0
725.0, 23.0, 295.0
725.0, 23.0, 295.0
726.0, 20.0, 297.0
727.0, 24.0, 299.0
728.0, 20.0, 305.0
729.0, 16.0, 303.0
730.0, 13.0, 301.0
730.0, 13.0, 301.0
731.0, 16.0, 299.0
732.0, 27.0, 292.0
733.0, 24.0, 292.0
734.0, 26.0, 288.0
735.0, 25.0, 292.0
735.0, 25.0, 292.0
736.0, 22.0, 296.0
737.0, 19.0, 290.0
738.0, 15.0, 297.0
739.0, 15.0, 298.0
740.0, 15.0, 298.0
740.0, 20.0, 298.0
741.0, 25.0, 299.0
742.0, 24.0, 298.0
743.0, 18.0, 301.0
744.0, 23.0, 299.0
745.0, 22.0, 298.0
745.0, 22.0, 298.0
746.0, 20.0, 301.0
747.0, 15.0, 305.0
748.0, 15.0, 306.0
749.0, 16.0, 309.0
750.0, 16.0, 309.0
750.0, 16.0, 303.0
751.0, 20.0, 303.0
752.0, 18.0, 299.0
753.0, 15.0, 303.0
754.0, 15.0, 299.0
755.0, 20.0, 298.0
755.0, 20.0, 298.0
756.0, 24.0, 301.0
757.0, 16.0, 303.0
758.0, 18.0, 304.0
759.0, 15.0, 304.0
760.0, 12.0, 303.0
760.0, 12.0, 303.0
761.0, 12.0, 299.0
762.0, 18.0, 301.0
763.0, 19.0, 302.0
764.0, 14.0, 302.0
765.0, 14.0, 302.0
765.0, 20.0, 303.0
766.0, 18.0, 301.0
767.0, 20.0, 299.0
768.0, 24.0, 306.0
769.0, 18.0, 301.0
